datetime,production
2025-03-31 17:45:00,1089
2025-03-31 18:00:00,964
2025-03-31 18:15:00,837
2025-03-31 18:30:00,710
2025-03-31 18:45:00,569
2025-03-31 19:00:00,435
2025-03-31 19:15:00,308
2025-03-31 19:30:00,199
2025-03-31 19:45:00,113
2025-03-31 20:00:00,60
2025-03-31 20:15:00,31
2025-03-31 20:30:00,10
2025-03-31 20:45:00,0
2025-03-31 21:00:00,0
2025-03-31 21:15:00,0
2025-04-06 07:45:00,15
2025-04-06 08:00:00,36
2025-04-06 08:15:00,63
2025-04-06 08:30:00,89
2025-04-06 08:45:00,113
2025-04-06 09:00:00,150
2025-04-06 09:15:00,216
2025-04-06 09:30:00,228
2025-04-06 09:45:00,239
2025-04-06 10:00:00,251
2025-04-06 10:15:00,279
2025-04-06 10:30:00,413
2025-04-06 10:45:00,1073
2025-04-06 11:00:00,1166
2025-04-06 11:15:00,1272
2025-04-06 11:30:00,1369
2025-04-06 11:45:00,1456
2025-04-06 12:00:00,1519
2025-04-06 12:15:00,1587
2025-04-06 12:30:00,1660
2025-04-06 12:45:00,1695
2025-04-06 13:00:00,1735
2025-04-06 13:15:00,1770
2025-04-06 13:30:00,1776
2025-04-06 13:45:00,1822
2025-04-06 14:00:00,1830
2025-04-06 14:15:00,1824
2025-04-06 14:30:00,1813
2025-04-06 14:45:00,1784
2025-04-06 15:00:00,1762
2025-04-06 15:15:00,1727
2025-04-06 15:30:00,1694
2025-04-06 15:45:00,1664
2025-04-06 16:00:00,1605
2025-04-06 16:15:00,1564
2025-04-06 16:30:00,1477
2025-04-06 16:45:00,1410
2025-04-06 17:00:00,1320
2025-04-06 17:15:00,1229
2025-04-06 17:30:00,1125
2025-04-06 17:45:00,1014
2025-04-06 18:00:00,907
2025-04-06 18:15:00,798
2025-04-06 18:30:00,683
2025-04-06 18:45:00,564
2025-04-06 19:00:00,444
2025-04-06 19:15:00,319
2025-04-06 19:30:00,208
2025-04-06 19:45:00,121
2025-04-06 20:00:00,68
2025-04-06 20:15:00,42
2025-04-06 20:30:00,18
2025-04-06 20:45:00,4
2025-04-06 21:00:00,0
2025-04-06 21:15:00,0
